gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,locus
ENSG00000101888.11,0.0,0.0,0,150,NXT2,chrX,109535781,109544690,+,"chrX:109,535,781-109,544,690 (+)"
ENSG00000188153.12,0.0,0.0,0,150,COL4A5,chrX,108439844,108697545,+,"chrX:108,439,844-108,697,545 (+)"
ENSG00000197565.15,0.0,0.0,0,150,COL4A6,chrX,108155607,108439497,-,"chrX:108,155,607-108,439,497 (-)"
ENSG00000101844.17,0.0,0.0,0,150,ATG4A,chrX,108091668,108154671,+,"chrX:108,091,668-108,154,671 (+)"
ENSG00000101843.18,0.0,0.0,0,150,PSMD10,chrX,108084207,108091618,-,"chrX:108,084,207-108,091,618 (-)"
ENSG00000080561.13,0.0,0.0,0,150,MID2,chrX,107825755,107927193,+,"chrX:107,825,755-107,927,193 (+)"
ENSG00000170935.7,0.0,0.0,0,150,NCBP2L,chrX,107774899,107795829,+,"chrX:107,774,899-107,795,829 (+)"
ENSG00000157514.16,0.0,0.0,0,150,TSC22D3,chrX,107713221,107777342,-,"chrX:107,713,221-107,777,342 (-)"
ENSG00000147224.10,0.0,0.0,0,150,PRPS1,chrX,107628424,107651026,+,"chrX:107,628,424-107,651,026 (+)"
ENSG00000147234.10,0.0,0.0,0,150,FRMPD3,chrX,107522450,107605251,+,"chrX:107,522,450-107,605,251 (+)"
ENSG00000198088.10,0.0,0.0,0,150,NUP62CL,chrX,107123427,107206433,-,"chrX:107,123,427-107,206,433 (-)"
ENSG00000089682.16,0.0,0.0,0,150,RBM41,chrX,107064420,107118823,-,"chrX:107,064,420-107,118,823 (-)"
ENSG00000133131.14,0.0,0.0,0,150,MORC4,chrX,106813871,107000244,-,"chrX:106,813,871-107,000,244 (-)"
ENSG00000133138.19,0.0,0.0,0,150,TBC1D8B,chrX,106802680,106876145,+,"chrX:106,802,680-106,876,145 (+)"
ENSG00000133135.13,0.0,0.0,0,150,RNF128,chrX,106693794,106796993,+,"chrX:106,693,794-106,796,993 (+)"
ENSG00000147231.13,0.0,0.0,0,150,CXorf57,chrX,106611930,106679442,+,"chrX:106,611,930-106,679,442 (+)"
ENSG00000157502.13,0.0,0.0,0,150,MUM1L1,chrX,106168305,106208956,+,"chrX:106,168,305-106,208,956 (+)"
ENSG00000123572.16,0.0,0.0,0,150,NRK,chrX,105822543,105958610,+,"chrX:105,822,543-105,958,610 (+)"
ENSG00000123575.8,0.0,0.0,0,150,FAM199X,chrX,104166620,104195902,+,"chrX:104,166,620-104,195,902 (+)"
ENSG00000269743.2,0.0,0.0,0,150,SLC25A53,chrX,104099214,104157027,-,"chrX:104,099,214-104,157,027 (-)"
ENSG00000166707.10,0.0,0.0,0,150,ZCCHC18,chrX,104112131,104115846,+,"chrX:104,112,131-104,115,846 (+)"
ENSG00000269226.7,0.0,0.0,0,150,RP11-722G7.1,chrX,104063871,104076212,-,"chrX:104,063,871-104,076,212 (-)"
ENSG00000123570.3,0.0,0.0,0,150,RAB9B,chrX,103822322,103832228,-,"chrX:103,822,322-103,832,228 (-)"
ENSG00000123560.13,0.0,0.0,0,150,PLP1,chrX,103773718,103792619,+,"chrX:103,773,718-103,792,619 (+)"
ENSG00000179363.6,0.0,0.0,0,150,TMEM31,chrX,103710909,103714028,+,"chrX:103,710,909-103,714,028 (+)"
ENSG00000123562.16,0.0,0.0,0,150,MORF4L2,chrX,103675496,103688158,-,"chrX:103,675,496-103,688,158 (-)"
ENSG00000172465.13,0.0,0.0,0,150,TCEAL1,chrX,103628704,103630953,+,"chrX:103,628,704-103,630,953 (+)"
ENSG00000196507.10,0.0,0.0,0,150,TCEAL3,chrX,103607451,103629690,+,"chrX:103,607,451-103,629,690 (+)"
ENSG00000133142.17,0.0,0.0,0,150,TCEAL4,chrX,103576231,103587736,+,"chrX:103,576,231-103,587,736 (+)"
ENSG00000166681.13,0.0,0.0,0,150,BEX3,chrX,103376340,103378077,+,"chrX:103,376,340-103,378,077 (+)"
ENSG00000185222.8,0.0,0.0,0,150,TCEAL9,chrX,103356452,103358451,+,"chrX:103,356,452-103,358,451 (+)"
ENSG00000182916.7,0.0,0.0,0,150,TCEAL7,chrX,103330196,103332326,+,"chrX:103,330,196-103,332,326 (+)"
ENSG00000133134.11,0.0,0.0,0,150,BEX2,chrX,103309346,103311046,-,"chrX:103,309,346-103,311,046 (-)"
ENSG00000204065.2,0.0,0.0,0,150,TCEAL5,chrX,103273691,103276872,-,"chrX:103,273,691-103,276,872 (-)"
ENSG00000180964.16,0.0,0.0,0,150,TCEAL8,chrX,103252995,103255203,-,"chrX:103,252,995-103,255,203 (-)"
ENSG00000102409.9,0.0,0.0,0,150,BEX4,chrX,103215092,103217246,+,"chrX:103,215,092-103,217,246 (+)"
ENSG00000133169.5,0.0,0.0,0,150,BEX1,chrX,103062651,103064240,-,"chrX:103,062,651-103,064,240 (-)"
ENSG00000198908.11,0.0,0.0,0,150,BHLHB9,chrX,102720688,102753540,+,"chrX:102,720,688-102,753,540 (+)"
ENSG00000158301.18,0.0,0.0,0,150,GPRASP2,chrX,102712176,102717733,+,"chrX:102,712,176-102,717,733 (+)"
ENSG00000198932.12,0.0,0.0,0,150,GPRASP1,chrX,102651366,102659083,+,"chrX:102,651,366-102,659,083 (+)"
ENSG00000125962.14,0.0,0.0,0,150,ARMCX5,chrX,102599168,102604159,+,"chrX:102,599,168-102,604,159 (+)"
ENSG00000158164.6,0.0,0.0,0,150,TMSB15A,chrX,102513676,102516784,-,"chrX:102,513,676-102,516,784 (-)"
ENSG00000184515.10,0.0,0.0,0,150,BEX5,chrX,102153708,102156057,-,"chrX:102,153,708-102,156,057 (-)"
ENSG00000204071.10,0.0,0.0,0,150,TCEAL6,chrX,102140476,102142970,-,"chrX:102,140,476-102,142,970 (-)"
ENSG00000184905.8,0.0,0.0,0,150,TCEAL2,chrX,102125688,102127711,+,"chrX:102,125,688-102,127,711 (+)"
ENSG00000166432.14,0.0,0.0,0,150,ZMAT1,chrX,101882288,101932031,-,"chrX:101,882,288-101,932,031 (-)"
ENSG00000184867.13,0.0,0.0,0,150,ARMCX2,chrX,101655281,101659891,-,"chrX:101,655,281-101,659,891 (-)"
ENSG00000102401.19,0.0,0.0,0,150,ARMCX3,chrX,101622797,101627843,+,"chrX:101,622,797-101,627,843 (+)"
ENSG00000198960.10,0.0,0.0,0,150,ARMCX6,chrX,101615118,101618001,-,"chrX:101,615,118-101,618,001 (-)"
ENSG00000126947.12,0.0,0.0,0,150,ARMCX1,chrX,101550531,101554700,+,"chrX:101,550,531-101,554,700 (+)"
ENSG00000196440.11,0.0,0.0,0,150,ARMCX4,chrX,101418287,101533459,+,"chrX:101,418,287-101,533,459 (+)"
ENSG00000126945.8,0.0,0.0,0,150,HNRNPH2,chrX,101408295,101414133,+,"chrX:101,408,295-101,414,133 (+)"
ENSG00000257529.5,0.0,0.0,0,150,RPL36A-HNRNPH2,chrX,101391011,101412297,+,"chrX:101,391,011-101,412,297 (+)"
ENSG00000102393.9,0.0,0.0,0,150,GLA,chrX,101397803,101407925,-,"chrX:101,397,803-101,407,925 (-)"
ENSG00000241343.9,0.0,0.0,0,150,RPL36A,chrX,101390824,101396154,+,"chrX:101,390,824-101,396,154 (+)"
ENSG00000010671.15,0.0,0.0,0,150,BTK,chrX,101349447,101390796,-,"chrX:101,349,447-101,390,796 (-)"
ENSG00000126953.5,0.0,0.0,0,150,TIMM8A,chrX,101345661,101349196,-,"chrX:101,345,661-101,349,196 (-)"
ENSG00000102384.13,0.0,0.0,0,150,CENPI,chrX,101098218,101163681,+,"chrX:101,098,218-101,163,681 (+)"
ENSG00000126950.7,0.0,0.0,0,150,TMEM35A,chrX,101078720,101096364,+,"chrX:101,078,720-101,096,364 (+)"
ENSG00000188917.14,0.0,0.0,0,150,TRMT2B,chrX,101009346,101052116,-,"chrX:101,009,346-101,052,116 (-)"
ENSG00000007952.17,0.0,0.0,0,150,NOX1,chrX,100843324,100874345,-,"chrX:100,843,324-100,874,345 (-)"
ENSG00000101811.13,0.0,0.0,0,150,CSTF2,chrX,100820359,100840932,+,"chrX:100,820,359-100,840,932 (+)"
ENSG00000102362.15,0.0,0.0,0,150,SYTL4,chrX,100674491,100732123,-,"chrX:100,674,491-100,732,123 (-)"
ENSG00000102359.6,0.0,0.0,0,150,SRPX2,chrX,100644166,100675788,+,"chrX:100,644,166-100,675,788 (+)"
ENSG00000000003.14,0.0,0.0,0,150,TSPAN6,chrX,100627109,100639991,-,"chrX:100,627,109-100,639,991 (-)"
ENSG00000000005.5,0.0,0.0,0,150,TNMD,chrX,100584802,100599885,+,"chrX:100,584,802-100,599,885 (+)"
ENSG00000165194.15,0.0,0.0,0,150,PCDH19,chrX,100291644,100410273,-,"chrX:100,291,644-100,410,273 (-)"
ENSG00000147202.17,0.0,0.0,0,150,DIAPH2,chrX,96684663,97604997,+,"chrX:96,684,663-97,604,997 (+)"
ENSG00000186310.9,0.0,0.0,0,150,NAP1L3,chrX,93670930,93673568,-,"chrX:93,670,930-93,673,568 (-)"
ENSG00000174740.7,0.0,0.0,0,150,PABPC5,chrX,91434595,91438584,+,"chrX:91,434,595-91,438,584 (+)"
ENSG00000188419.13,0.0,0.0,0,150,CHM,chrX,85861180,86047562,-,"chrX:85,861,180-86,047,562 (-)"
ENSG00000124429.17,0.0,0.0,0,150,POF1B,chrX,85277396,85379743,-,"chrX:85,277,396-85,379,743 (-)"
ENSG00000147180.16,0.0,0.0,0,150,ZNF711,chrX,85244032,85273362,+,"chrX:85,244,032-85,273,362 (+)"
ENSG00000184788.12,0.0,0.0,0,150,SATL1,chrX,85092287,85109048,-,"chrX:85,092,287-85,109,048 (-)"
ENSG00000155008.13,0.0,0.0,0,150,APOOL,chrX,85003826,85093316,+,"chrX:85,003,826-85,093,316 (+)"
ENSG00000165259.13,0.0,0.0,0,150,HDX,chrX,84317874,84502479,-,"chrX:84,317,874-84,502,479 (-)"
ENSG00000072133.10,0.0,0.0,0,150,RPS6KA6,chrX,84058346,84187907,-,"chrX:84,058,346-84,187,907 (-)"
ENSG00000131171.12,0.0,0.0,0,150,SH3BGRL,chrX,81201943,81298547,+,"chrX:81,201,943-81,298,547 (+)"
ENSG00000198157.10,0.0,0.0,0,150,HMGN5,chrX,81113701,81201942,-,"chrX:81,113,701-81,201,942 (-)"
ENSG00000165288.10,0.0,0.0,0,150,BRWD3,chrX,80670854,80809688,-,"chrX:80,670,854-80,809,688 (-)"
ENSG00000078596.10,0.0,0.0,0,150,ITM2A,chrX,79360384,79367667,-,"chrX:79,360,384-79,367,667 (-)"
ENSG00000147138.1,0.0,0.0,0,150,GPR174,chrX,79170972,79172229,+,"chrX:79,170,972-79,172,229 (+)"
ENSG00000078589.12,0.0,0.0,0,150,P2RY10,chrX,78945332,78961954,+,"chrX:78,945,332-78,961,954 (+)"
ENSG00000147145.12,0.0,0.0,0,150,LPAR4,chrX,78747709,78757094,+,"chrX:78,747,709-78,757,094 (+)"
ENSG00000173198.5,0.0,0.0,0,150,CYSLTR1,chrX,78271464,78327691,-,"chrX:78,271,464-78,327,691 (-)"
ENSG00000187325.4,0.0,0.0,0,150,TAF9B,chrX,78129748,78139706,-,"chrX:78,129,748-78,139,706 (-)"
ENSG00000102144.13,0.0,0.0,0,150,PGK1,chrX,78065188,78129296,+,"chrX:78,065,188-78,129,296 (+)"
ENSG00000165240.18,0.0,0.0,0,150,ATP7A,chrX,77910656,78050395,+,"chrX:77,910,656-78,050,395 (+)"
ENSG00000226784.2,0.0,0.0,0,150,PGAM4,chrX,77968874,77969638,-,"chrX:77,968,874-77,969,638 (-)"
