gene,f_score,p_value,chrom,start,genome_pos,cytoband
ACADL,284.7905003342632,2.1288397609120115e-52,chr2,210187922.0,459144344.0,2q34
FOXO1,284.72033948439736,2.1799325684094342e-52,chr13,40555666.0,2117598648.0,13q14.11
CFD,284.2858781524216,2.5248963769629934e-52,chr19,859663.0,2655270951.0,19p13.3
SLC35A2,283.8947062262062,2.882136217846675e-52,chrX,48903182.0,2923904704.0,Xp11.23
TDO2,283.52685803518193,3.264243167748241e-52,chr4,155903695.0,845349205.0,4q32.1
BMX,283.4780629316603,3.318611108745822e-52,chrX,15500806.0,2890502328.0,Xp22.2
PYCR1,282.7195791237009,4.290628591704237e-52,chr17,81932385.0,2572712947.0,17q25.3
KLF4,282.65411990913356,4.386860769192978e-52,chr9,107484851.0,1643973763.0,9q31.2
KIF4B,282.4338258103894,4.726912262238004e-52,chr5,155013754.0,1034673819.0,5q33.2
ALDH1A1,282.4069881300859,4.770107603044746e-52,chr9,72900670.0,1609389582.0,9q21.13
HS3ST4,282.38438671171275,4.806791759588112e-52,chr16,25691958.0,2426134175.0,16p12.1
GPR109B,282.0498933169826,5.384011222264179e-52,chr12,122714755.0,2066482428.0,12q24.31
C10orf90,281.606934182731,6.256861031569093e-52,chr10,126424996.0,1801308625.0,10q26.2
CSN1S1,281.2895469032625,6.96835443562533e-52,chr4,69931067.0,759376577.0,4q13.3
SORBS1,280.8975608925313,7.960154273806842e-52,chr10,95311772.0,1770195401.0,10q24.1
HIST1H3F,280.82962643298276,8.145914965591795e-52,chr6,26250141.0,1087448465.0,6p22.2
SNF1LK2,280.4164566598621,9.373194728447697e-52,chr11,111602448.0,1920283499.0,11q23.1
TTC28,280.01598137926993,1.0739666347361508e-51,chr22,27978013.0,2852161067.0,22q12.1
LGALS12,280.0033571524871,1.0785849410466664e-51,chr11,63506083.0,1872187134.0,11q12.3
RBED1,279.4711945862191,1.2925164020376189e-51,chr2,85354768.0,334311190.0,2p11.2
MMD,279.28592273536685,1.3765932681163543e-51,chr17,55392621.0,2546173183.0,17q22
SAMD14,278.4376475711592,1.8373587676148094e-51,chr17,50110039.0,2540890601.0,17q21.33
PSMC4,278.3382597508495,1.900610657790315e-51,chr19,39971004.0,2694382292.0,19q13.2
ENPP2,278.0975334927745,2.0630179164880825e-51,chr8,119557085.0,1510907361.0,8q24.12
SAMD5,278.0476703389448,2.0983616580841204e-51,chr6,147508689.0,1208707013.0,6q24.3
TXNIP,277.5380064712313,2.4963797713609948e-51,chr1,145992441.0,145992441.0,1q21.1
CLDN19,277.1812109171236,2.819312166257031e-51,chr1,42733092.0,42733092.0,1p34.2
PPP1R14A,277.04942786878945,2.948916764690821e-51,chr19,38251236.0,2692662524.0,19q13.2
DMGDH,276.8847893091612,3.1192670497180984e-51,chr5,78997563.0,958657628.0,5q14.1
AKR1C3,276.5014633804426,3.5551488369256005e-51,chr10,5048765.0,1679932394.0,10p15.1
SPAG5,276.0691091125272,4.1205872649638044e-51,chr17,28577573.0,2519358135.0,17q11.2
CLDND2,275.68265989463646,4.701992853647792e-51,chr19,51367097.0,2705778385.0,19q13.41
THSD1,275.62057828321934,4.8027842986734905e-51,chr13,52377167.0,2129420149.0,13q14.3
MATN2,274.5748481450554,6.866729265458284e-51,chr8,97869063.0,1489219339.0,8q22.1
H2AFY,273.69815506181646,9.26951503921027e-51,chr5,135334380.0,1014994445.0,5q31.1
HOXA5,273.1743595936435,1.109111567573167e-50,chr7,27141051.0,1259145354.0,7p15.2
OLR1,272.3086210651162,1.4923304497519682e-50,chr12,10158299.0,1953925972.0,12p13.2
RP11-35N6.1,271.65684141009916,1.8663259507832939e-50,,,,
E2F7,270.7937088626966,2.510259545656671e-50,chr12,77021250.0,2020788923.0,12q21.2
GYPC,270.31622529013737,2.957935640603027e-50,chr2,126655934.0,375612356.0,2q14.3
FLJ22655,269.63788835325363,3.735145719002221e-50,,,,
SLC25A27,269.57156047282194,3.8213680579203516e-50,chr6,46652914.0,1107851238.0,6p12.3
CCNB2,269.5531819804603,3.8456104475520103e-50,chr15,59105145.0,2357556173.0,15q22.2
PYGM,268.9406345619876,4.748280727025149e-50,chr11,64746388.0,1873427439.0,11q13.1
P4HA3,268.908216245234,4.801583873627609e-50,chr11,74266656.0,1882947707.0,11q13.4
ASXL3,268.8247940483122,4.941526086405974e-50,chr18,33578218.0,2607616221.0,18q12.1
PER1,268.77867165148587,5.020646653860788e-50,chr17,8140471.0,2498921033.0,17p13.1
NMUR1,268.7440340430512,5.080900383284707e-50,chr2,231523186.0,480479608.0,2q37.1
PTTG3,268.52817056784363,5.473106185034909e-50,chr8,66767333.0,1458117609.0,8q13.1
PRCC,267.8663510125405,6.8753288630302115e-50,chr1,156767534.0,156767534.0,1q23.1
MRPS34,267.28595257753983,8.399045939826559e-50,chr16,1771894.0,2402214111.0,16p13.3
SGPL1,267.19270104049014,8.673680972182585e-50,chr10,70815947.0,1745699576.0,10q22.1
DPP6,267.03462097014784,9.159986467314863e-50,chr7,153748132.0,1385752435.0,7q36.2
CDK5,267.02881358361594,9.17836378112402e-50,chr7,151053814.0,1383058117.0,7q36.1
KLB,266.8541358723809,9.748762041664439e-50,chr4,39406929.0,728852439.0,4p14
NUAK2,266.74059889286787,1.0138450265133395e-49,chr1,205302062.0,205302062.0,1q32.1
KLF9,266.580545000812,1.071449347112828e-49,chr9,70384596.0,1606873508.0,9q21.12
PARP1,266.5415335896146,1.0859806627321001e-49,chr1,226360690.0,226360690.0,1q42.12
NEIL3,266.41025786115176,1.1363475569792464e-49,chr4,177309873.0,866755383.0,4q34.3
DNAJB4,266.26088888582166,1.196513685429187e-49,chr1,77979157.0,77979157.0,1p31.1
SMYD1,266.0255520018277,1.2978605904698432e-49,chr2,88067824.0,337024246.0,2p11.2
ARRDC3,265.11518124623393,1.777929356398197e-49,chr5,91368630.0,971028695.0,5q14.3
YPEL4,264.544239540309,2.1662727757273362e-49,chr11,57645086.0,1866326137.0,11q12.1
CNN1,264.50114912474487,2.198826396306322e-49,chr19,11538850.0,2665950138.0,19p13.2
SLC16A12,264.1045037453402,2.522518578256472e-49,chr10,89430298.0,1764313927.0,10q23.31
MAOA,263.97364214853917,2.639478636915329e-49,chrX,43654906.0,2918656428.0,Xp11.3
KIF15,263.61384938236887,2.9898733272056993e-49,chr3,44761793.0,535911744.0,3p21.31
C6orf189,263.51550145572077,3.0935298108693605e-49,chr6,116752196.0,1177950520.0,6q22.1
FAM70A,263.2704901281501,3.3677234279129628e-49,chrX,120258649.0,2995260171.0,Xq24
CDKN1C,262.97847464719223,3.726560768637937e-49,chr11,2883217.0,1811564268.0,11p15.4
CCNF,262.41281041465004,4.5345017783398704e-49,chr16,2429446.0,2402871663.0,16p13.3
PLXNA4A,261.81183712834655,5.5864174406696114e-49,chr7,132123331.0,1364127634.0,7q32.3
HDGF,261.52511146456334,6.171397390826246e-49,chr1,156742106.0,156742106.0,1q23.1
TRPM3,261.41462676228826,6.4128803022221335e-49,chr9,70529059.0,1607017971.0,9q21.12
NRN1,261.07262775826484,7.222156518501822e-49,chr6,5997999.0,1067196323.0,6p25.1
CA3,260.9887463460282,7.435827633995252e-49,chr8,85438858.0,1476789134.0,8q21.2
AADAC,260.52359895947154,8.741162168638515e-49,chr3,151814115.0,642964066.0,3q25.1
SAA4,260.05537009994373,1.0287592069842073e-48,chr11,18231354.0,1826912405.0,11p15.1
PTHR1,259.89564001648176,1.0875678235022681e-48,chr3,46877720.0,538027671.0,3p21.31
PID1,259.8543817475507,1.1032987702442072e-48,chr2,229023972.0,477980394.0,2q36.3
SLC22A3,258.8630655469981,1.558250792136408e-48,chr6,160348377.0,1221546701.0,6q25.3
CENPE,258.6822361851686,1.6596188300617887e-48,chr4,103105810.0,792551320.0,4q24
ARID5B,258.61737621589185,1.6975682318285584e-48,chr10,61901698.0,1736785327.0,10q21.2
TIMELESS,257.91798353219326,2.1664758177129253e-48,chr12,56416362.0,2000184035.0,12q13.3
MLXIPL,257.839417527461,2.2266841054816074e-48,chr7,73593201.0,1305597504.0,7q11.23
FAM111B,257.3920218276983,2.6029862303985437e-48,chr11,59107184.0,1867788235.0,11q12.1
MLF1IP,256.61083549745484,3.4195271284601245e-48,chr4,184694085.0,874139595.0,4q35.1
KIAA1688,256.55553758097165,3.486246718278756e-48,,,,
NTRK2,255.60049512979563,4.868376180410625e-48,chr9,84668521.0,1621157433.0,9q21.33
FOXM1,255.2763403459267,5.453129126974775e-48,chr12,2857679.0,1946625352.0,12p13.33
BRI3BP,255.25075738633987,5.502175371276986e-48,chr12,124993644.0,2068761317.0,12q24.31
TCEAL7,255.20332675026867,5.594280908865955e-48,chrX,103330185.0,2978331707.0,Xq22.2
DENND2A,255.18325991349764,5.633712959447829e-48,chr7,140518418.0,1372522721.0,7q34
P53AIP1,255.1690243369438,5.661855367657738e-48,chr11,128934731.0,1937615782.0,11q24.3
METTL7A,254.83484977487583,6.364580040041155e-48,chr12,50925014.0,1994692687.0,12q13.12
CENPL,254.7905096535542,6.464175909255088e-48,chr1,173799549.0,173799549.0,1q25.1
C18orf34,254.5001690289345,7.156128836382196e-48,chr18,32937405.0,2606975408.0,18q12.1
FOXN3,253.91391260780176,8.788265866462147e-48,chr14,89156179.0,2280563489.0,14q31.3
HIST1H3J,253.8404550400134,9.017527276907525e-48,chr6,27890314.0,1089088638.0,6p22.1
COL6A6,253.73954797289008,9.342275620188664e-48,chr3,130560333.0,621710284.0,3q22.1
KIF22,253.28414564588886,1.0960248982655813e-47,chr16,29790750.0,2430232967.0,16p11.2
RACGAP1,253.06114977364882,1.1852267515437769e-47,chr12,49989161.0,1993756834.0,12q13.12
C8orf51,252.87348542339157,1.2659180148490158e-47,chr8,143366622.0,1534716898.0,8q24.3
AURKA,252.85045910929216,1.2761911758797764e-47,chr20,56369388.0,2769398292.0,20q13.2
TJP3,252.56375773226915,1.411331296755414e-47,chr19,3708383.0,2658119671.0,19p13.3
EXO1,252.48902505408873,1.4488582987271929e-47,chr1,241848190.0,241848190.0,1q43
KCNB1,252.252293367333,1.574471947817971e-47,chr20,49363876.0,2762392780.0,20q13.13
KLHL13,252.1577220311112,1.627657058102668e-47,chrX,117897812.0,2992899334.0,Xq24
WDR34,252.0158089959945,1.7108680201019066e-47,chr9,128633660.0,1665122572.0,9q34.11
DUSP1,251.78012132201835,1.8586035926136237e-47,chr5,172768095.0,1052428160.0,5q35.1
APOA1BP,251.70974056842041,1.9051542746722429e-47,chr1,156591775.0,156591775.0,1q22
LSM4,251.5855235880554,1.990185992684039e-47,chr19,18306235.0,2672717523.0,19p13.11
ALDH18A1,251.48795516207085,2.0596379594978922e-47,chr10,95605942.0,1770489571.0,10q24.1
C3orf64,251.41894745593473,2.1102231285559674e-47,chr3,68975224.0,560125175.0,3p14.1
ECT2,251.26364159000104,2.228675441538553e-47,chr3,172750684.0,663900635.0,3q26.31
NNAT,251.16800049088863,2.3049177513248954e-47,chr20,37521249.0,2750550153.0,20q11.23
SKIP,251.03685275283433,2.4137384385911215e-47,chr14,77717600.0,2269124910.0,14q24.3
NDRG2,250.3770951294388,3.04457147794794e-47,chr14,21016762.0,2212424072.0,14q11.2
RCBTB2,250.32608521069557,3.0997435920472835e-47,chr13,48488962.0,2125531944.0,13q14.2
DST,250.27971287165005,3.150769858441809e-47,chr6,56457995.0,1117656319.0,6p12.1
SHCBP1,250.222998001029,3.2143238912299446e-47,chr16,46578592.0,2447020809.0,16q11.2
MEG3,250.20539163114876,3.2343138414125207e-47,chr14,100826107.0,2292233417.0,14q32.2
SCN3A,249.80039302751706,3.7302159907655977e-47,chr2,165087525.0,414043947.0,2q24.3
RGN,249.65269276199257,3.929478726559742e-47,chrX,47078354.0,2922079876.0,Xp11.3
CAPN11,249.37746901772698,4.329723933838407e-47,chr6,44158819.0,1105357143.0,6p21.1
GPRIN1,249.08857181742295,4.793948883667917e-47,chr5,176595801.0,1056255866.0,5q35.2
PELI2,248.8628161779025,5.191223453488111e-47,chr14,56118410.0,2247525720.0,14q22.3
KIAA1706,248.76982190487954,5.364327765450151e-47,,,,
PLK1,248.46255123974834,5.978563053194497e-47,chr16,23678888.0,2424121105.0,16p12.2
CENPA,247.67520715454526,7.894371115543591e-47,chr2,26786014.0,275742436.0,2p23.3
ST6GALNAC3,247.2752967020632,9.09240052544493e-47,chr1,76074745.0,76074745.0,1p31.1
SOD3,247.16257924828383,9.461913054010541e-47,chr4,24795572.0,714241082.0,4p15.2
RAB25,246.41707912521952,1.2315764087605866e-46,chr1,156061159.0,156061159.0,1q22
FLJ10357,246.39031678328575,1.2432917044605588e-46,,,,
STAB2,246.0531033068295,1.4008538107547379e-46,chr12,103587272.0,2047354945.0,12q23.3
FLAD1,245.9602867525081,1.447637128370671e-46,chr1,154983343.0,154983343.0,1q21.3
EZH2,245.80023869565267,1.5320205539293988e-46,chr7,148807382.0,1380811685.0,7q36.1
P2RY5,245.6132643723784,1.6368731497356156e-46,chr13,48411137.0,2125454119.0,13q14.2
ANKDD1A,245.33246836140023,1.8080248417430144e-46,chr15,64911901.0,2363362929.0,15q22.31
PYCRL,245.22037786316193,1.88126166375092e-46,chr8,143603209.0,1534953485.0,8q24.3
ISG20L2,245.06120548720898,1.990405095185735e-46,chr1,156721890.0,156721890.0,1q23.1
FAM54A,245.0296404342747,2.0127926387042357e-46,chr6,136231033.0,1197429357.0,6q23.3
LAGE3,244.04739598364094,2.851349114701875e-46,chrX,154477768.0,3029479290.0,Xq28
D4S234E,243.99527641646625,2.9045650410300283e-46,chr4,4386531.0,693832041.0,4p16.3
BGN,243.824123676047,3.0864292652424683e-46,chrX,153494979.0,3028496501.0,Xq28
NCOA5,243.6340778748406,3.3017902596267533e-46,chr20,46060994.0,2759089898.0,20q13.12
ATP6V0B,243.30355375698787,3.712887211194407e-46,chr1,43974959.0,43974959.0,1p34.1
TTK,243.2595774371539,3.771324032800762e-46,chr6,80004604.0,1141202928.0,6q14.1
hCG_1990170,242.9186758357075,4.256773395433865e-46,,,,
TFPI,242.50591214549658,4.9292605345252304e-46,chr2,187464230.0,436420652.0,2q32.1
CENTD3,242.1682203013137,5.558033468137791e-46,chr5,141653401.0,1021313466.0,5q31.3
SAA3P,242.16231659581035,5.569713765479178e-46,chr11,18112471.0,1826793522.0,11p15.1
EPAS1,241.4869393142373,7.08232653490978e-46,chr2,46297406.0,295253828.0,2p21
C1orf135,241.42903316286103,7.229798981618642e-46,chr1,25831912.0,25831912.0,1p36.11
TARS2,241.08329667005853,8.17670332491649e-46,chr1,150487418.0,150487418.0,1q21.2
FAM64A,240.18717486975015,1.1251928013318871e-45,chr17,6444454.0,2497225016.0,17p13.2
MAZ,240.02546085901645,1.191965463989008e-45,chr16,29806123.0,2430248340.0,16p11.2
WASF3,239.9864458948962,1.2086616740736635e-45,chr13,26557682.0,2103600664.0,13q12.13
SCN2B,239.71029617319877,1.3337426535357247e-45,chr11,118162805.0,1926843856.0,11q23.3
PENK,238.96727686784388,1.738662440788453e-45,chr8,56440956.0,1447791232.0,8q12.1
NAALAD2,238.6379638274901,1.9556060776245064e-45,chr11,90134662.0,1898815713.0,11q14.3
FGFBP2,238.2460100276206,2.2495103548127315e-45,chr4,15960245.0,705405755.0,4p15.32
GRRP1,237.83931129522276,2.601435349793652e-45,chr1,26159078.0,26159078.0,1p36.11
ABCB1,237.2915116873568,3.16438022285126e-45,chr7,87503016.0,1319507319.0,7q21.12
SYNE1,236.99938874682263,3.513015160904718e-45,chr6,152121683.0,1213320007.0,6q25.2
PASK,236.89949586149606,3.6408732982463705e-45,chr2,241106098.0,490062520.0,2q37.3
SCN3B,236.87973253783218,3.6667174473595666e-45,chr11,123629187.0,1932310238.0,11q24.1
APCDD1,236.87247241621108,3.676257543804555e-45,chr18,10454634.0,2584492637.0,18p11.22
Gcom1,235.8493957193084,5.303097595255858e-45,,,,
RSPO3,235.6059136478348,5.786673838164009e-45,chr6,127118670.0,1188316994.0,6q22.33
HLF,234.37122831576883,9.011353184063062e-45,chr17,55264959.0,2546045521.0,17q22
ANGPTL5,234.29448573364868,9.263092304878041e-45,chr11,101890673.0,1910571724.0,11q22.1
PTTG2,234.07938937370602,1.0006924700789781e-44,chr4,37960397.0,727405907.0,4p14
RCC2,234.03657755672208,1.0161978449252902e-44,chr1,17406759.0,17406759.0,1p36.13
SPINT2,234.016441918128,1.0235736049847329e-44,chr19,38264572.0,2692675860.0,19q13.2
RPL23AP13,233.5675407877844,1.2027077400282514e-44,,,,
CDKN2C,233.37462689728423,1.2890565038713966e-44,chr1,50968694.0,50968694.0,1p32.3
CKMT2,232.8880904310173,1.535490425681002e-44,chr5,81233319.0,960893384.0,5q14.1
HIST1H2BD,232.86980919242086,1.5456199416696376e-44,chr6,26158120.0,1087356444.0,6p22.2
PARN,231.57025865823434,2.467533318259258e-44,chr16,14435700.0,2414877917.0,16p13.12
PAK3,231.43682730813316,2.5890534410721335e-44,chrX,110944240.0,2985945762.0,Xq23
HOXA7,231.41282399589173,2.611542974422909e-44,chr7,27153718.0,1259158021.0,7p15.2
RBBP5,231.36296155074015,2.6588893590618546e-44,chr1,205086141.0,205086141.0,1q32.1
TOR3A,230.99636613928558,3.0344810535540765e-44,chr1,179082069.0,179082069.0,1q25.2
LRFN5,230.84962934135226,3.199343284352561e-44,chr14,41606855.0,2233014165.0,14q21.1
KIFC1,230.84890129163406,3.200183280754234e-44,chr6,33391822.0,1094590146.0,6p21.32
MGC13057,230.49659378776283,3.6337676183564647e-44,,,,
PHKG2,230.3735944511251,3.798641820621674e-44,chr16,30748298.0,2431190515.0,16p11.2
MRAP,229.8465154575806,4.594549411166312e-44,chr21,32291812.0,2809764883.0,21q22.11
CD36,229.6552380588221,4.923083387434081e-44,chr7,80602206.0,1312606509.0,7q21.11
INTS7,229.53270628096922,5.145826976938653e-44,chr1,211940398.0,211940398.0,1q32.3
NCAPH,229.46137454266974,5.280125633255865e-44,chr2,96335765.0,345292187.0,2q11.2
HPSE2,229.43509387478684,5.330486947040347e-44,chr10,98457076.0,1773340705.0,10q24.2
DNASE2,229.26487184598741,5.668559914560891e-44,chr19,12875208.0,2667286496.0,19p13.13
IER5L,229.15175534874558,5.9050357013927e-44,chr9,129175551.0,1665664463.0,9q34.11
PLEKHH2,229.12788699747463,5.956184912471032e-44,chr2,43637259.0,292593681.0,2p21
ANKRD15,229.08077993733423,6.058442323018206e-44,chr9,470290.0,1536959202.0,9p24.3
RHOJ,228.70290578927901,6.945104621731592e-44,chr14,63204442.0,2254611752.0,14q23.2
NDN,228.5975126040635,7.214863876993388e-44,chr15,23685399.0,2322136427.0,15q11.2
SLC25A44,228.58380318795943,7.250718091893728e-44,chr1,156194103.0,156194103.0,1q22
UBE2S,228.54178094223766,7.361736593944178e-44,chr19,55399744.0,2709811032.0,19q13.42
NLGN1,228.40135778321385,7.745243891527998e-44,chr3,173395951.0,664545902.0,3q26.31
DNASE1L3,228.33885917973961,7.922319450026949e-44,chr3,58192256.0,549342207.0,3p14.3
SDS,228.31809711964698,7.982038428208169e-44,chr12,113392445.0,2057160118.0,12q24.13
C4orf12,228.26321320443154,8.142088281098334e-44,chr4,84965615.0,774411125.0,4q21.23
HYAL1,228.05888332980342,8.766781830894261e-44,chr3,50299888.0,541449839.0,3p21.31
ADAR,228.01724875210013,8.899853163285884e-44,chr1,154582057.0,154582057.0,1q21.3
CILP2,228.00457752791502,8.940753494302165e-44,chr19,19538264.0,2673949552.0,19p13.11
AKAP12,227.97832375010353,9.026096984657e-44,chr6,151239966.0,1212438290.0,6q25.1
FOS,227.6691758184797,1.0094709678786255e-43,chr14,75278827.0,2266686137.0,14q24.3
FOSB,227.54328466268493,1.0565439412218834e-43,chr19,45467995.0,2699879283.0,19q13.32
PTAR1,227.26451017207245,1.168772595783144e-43,chr9,69709526.0,1606198438.0,9q21.12
GTSE1,227.04244021115656,1.2666759715754232e-43,chr22,46296869.0,2870479923.0,22q13.31
C21orf34,226.8897168727729,1.3387429913386745e-43,chr21,16070487.0,2793543558.0,21q21.1
KCTD12,226.82267228270328,1.3716661178949278e-43,chr13,76880174.0,2153923156.0,13q22.3
RGS2,226.78883194687936,1.388591166747236e-43,chr1,192809038.0,192809038.0,1q31.2
HTR2A,226.4262964265953,1.5836034025751617e-43,chr13,46831545.0,2123874527.0,13q14.2
RNF186,226.15280540238328,1.748709744377681e-43,chr1,19814028.0,19814028.0,1p36.13
SBDS,226.0647797715263,1.8054428913549853e-43,chr7,66987679.0,1298991982.0,7q11.21
IPO9,225.64834666776412,2.0999164962438414e-43,chr1,201829156.0,201829156.0,1q32.1
SPRY1,225.14589375775878,2.5201131535900797e-43,chr4,123396794.0,812842304.0,4q28.1
SEMA3G,224.9194589222617,2.7361291360435377e-43,chr3,52433034.0,543582985.0,3p21.1
HIST1H2BN,224.67903522310584,2.9858688396481704e-43,chr6,27838568.0,1089036892.0,6p22.1
SELI,224.5008535780989,3.1856029442639014e-43,chr2,26346142.0,275302564.0,2p23.3
ARS2,224.4075461717829,3.2954905453908833e-43,chr7,100875102.0,1332879405.0,7q22.1
TMEM178,224.40052122537864,3.3039161450707166e-43,chr2,39665497.0,288621919.0,2p22.1
HIST1H3A,224.37355172389462,3.3364641799990113e-43,chr6,26020450.0,1087218774.0,6p22.2
NCBP1,224.24318322717735,3.498393677455497e-43,chr9,97633422.0,1634122334.0,9q22.33
PKMYT1,224.04083842370213,3.765485301009651e-43,chr16,2972807.0,2403415024.0,16p13.3
FBXL6,223.97280750053466,3.859806556427318e-43,chr8,144355430.0,1535705706.0,8q24.3
ZNF587,223.8651804271729,4.01389194923041e-43,chr19,57849858.0,2712261146.0,19q13.43
PMM2,223.81947148201957,4.0811850351770544e-43,chr16,8797838.0,2409240055.0,16p13.2
CSTF2,223.8014922053568,4.107963457375771e-43,chrX,100820362.0,2975821884.0,Xq22.1
RRP12,223.78539975662903,4.132081123802122e-43,chr10,97356356.0,1772239985.0,10q24.1
RUSC1,223.4125080887393,4.732517221889078e-43,chr1,155320893.0,155320893.0,1q22
MEIS2,223.26129086742284,5.000287686230734e-43,chr15,36889205.0,2335340233.0,15q14
CENPM,223.15855544511666,5.190830912698257e-43,chr22,41938720.0,2866121774.0,22q13.2
TNNT3,223.14725226096,5.212234896354142e-43,chr11,1919702.0,1810600753.0,11p15.5
AQP1,223.07554721300278,5.35009559302876e-43,chr7,30911852.0,1262916155.0,7p14.3
FCGR1A,222.87198488733938,5.761732846024091e-43,chr1,149782693.0,149782693.0,1q21.2
PAK7,222.85941078513363,5.788177882665115e-43,chr20,9537370.0,2722566274.0,20p12.2
LOC284352,222.17045512790847,7.439722916440879e-43,,,,
DEPDC1,222.14661843335136,7.504645402979743e-43,chr1,68474151.0,68474151.0,1p31.3
MEF2D,222.1153002371729,7.590809737592655e-43,chr1,156463726.0,156463726.0,1q22
CDC42SE1,222.09250163649347,7.6541582249615e-43,chr1,151050970.0,151050970.0,1q21.3
RNF150,222.00778124757733,7.894247415041191e-43,chr4,140859806.0,830305316.0,4q31.21
NR3C1,221.97609261552705,7.985979315349358e-43,chr5,143277930.0,1022937995.0,5q31.3
RPL11,221.93354127247716,8.110841208659737e-43,chr1,23691778.0,23691778.0,1p36.11
FLJ20581,221.83526052216547,8.406773902804421e-43,,,,
PLAGL1,221.80049976764477,8.51401564608642e-43,chr6,143940299.0,1205138623.0,6q24.2
CIT,221.27105233620938,1.0327922428489348e-42,chr12,119685790.0,2063453463.0,12q24.23
RPL5,221.25397030732623,1.0392502615369467e-42,chr1,92831985.0,92831985.0,1p22.1
DPP9,221.22119134104955,1.0517563549666341e-42,chr19,4675226.0,2659086514.0,19p13.3
CHTF18,221.06266787340272,1.1144020165233679e-42,chr16,788619.0,2401230836.0,16p13.3
TMEM37,221.05029609618748,1.1194458402432149e-42,chr2,119431853.0,368388275.0,2q14.2
ALDH1A2,220.69335021886283,1.2752635656639462e-42,chr15,57953423.0,2356404451.0,15q21.3
TSTA3,220.5621091051154,1.3378756578499192e-42,chr8,143612617.0,1534962893.0,8q24.3
CG018,220.51626325874574,1.3604671117662958e-42,chr13,32400722.0,2109443704.0,13q13.1
FAM107A,220.32093541894758,1.461088811117112e-42,chr3,58564117.0,549714068.0,3p14.3
GRASP,220.31498842364508,1.4642668125031394e-42,chr12,52006945.0,1995774618.0,12q13.13
CDC14B,220.21490126067062,1.5188049910130085e-42,chr9,96500107.0,1632989019.0,9q22.33
CSF3,220.10315517881097,1.58210829267556e-42,chr17,40015439.0,2530796001.0,17q21.1
RCAN1,220.0315189488684,1.6240756091975465e-42,chr21,34516442.0,2811989513.0,21q22.12
JAM2,219.62453064281263,1.8846144054371057e-42,chr21,25639257.0,2803112328.0,21q21.3
LRRN3,219.59500616674492,1.9050715992938817e-42,chr7,111091005.0,1343095308.0,7q31.1
RECQL4,219.03638209440828,2.337004277984662e-42,chr8,144511287.0,1535861563.0,8q24.3
ATF3,218.81043472830845,2.538477618409046e-42,chr1,212565333.0,212565333.0,1q32.3
UGP2,218.54472358402134,2.7978254481579717e-42,chr2,63840968.0,312797390.0,2p15
C2orf37,218.52098444541159,2.822251785847172e-42,chr2,171434225.0,420390647.0,2q31.1
KCNA2,218.17507138743775,3.2034485030665516e-42,chr1,110593579.0,110593579.0,1p13.3
PLEKHC1,218.0147596411706,3.3972347898548786e-42,chr14,52857270.0,2244264580.0,14q22.1
DAAM2,217.83553063561178,3.627851345574273e-42,chr6,39792375.0,1100990699.0,6p21.2
C1QTNF6,217.70187684830015,3.809994959271704e-42,chr22,37180165.0,2861363219.0,22q12.3
CD200,217.53841703394914,4.0452810444891876e-42,chr3,112332572.0,603482523.0,3q13.2
MFAP4,217.4107744741251,4.239106193826653e-42,chr17,19383445.0,2510164007.0,17p11.2
C14orf80,217.38373843139726,4.2813417170851916e-42,chr14,105489854.0,2296897164.0,14q32.33
CENPO,217.29596753405178,4.4213894127008464e-42,chr2,24793114.0,273749536.0,2p23.3
MYOT,217.1349271608548,4.6904117414641864e-42,chr5,137867859.0,1017527924.0,5q31.2
KCTD4,217.0909922270684,4.766617372936896e-42,chr13,45192852.0,2122235834.0,13q14.12
SLC7A10,217.0705709926459,4.80245996713651e-42,chr19,33208663.0,2687619951.0,19q13.11
NMRAL1,217.02196131997107,4.8888697467390116e-42,chr16,4461679.0,2404903896.0,16p13.3
ANGPT1,216.95248675305257,5.01508495982882e-42,chr8,107249481.0,1498599757.0,8q23.1
NUDT9P1,216.82049277049188,5.263958033802536e-42,chr10,91152005.0,1766035634.0,10q23.32
FMO2,216.7876282353594,5.327827399640257e-42,chr1,171185207.0,171185207.0,1q24.3
IQGAP3,216.74848423123277,5.4049158783459244e-42,chr1,156525404.0,156525404.0,1q22
LOC388335,216.59149037806463,5.725505058729487e-42,,,,
ANK2,216.28858306040166,6.398988744473243e-42,chr4,112706017.0,802151527.0,4q25
ALDH3A1,216.28077514539922,6.41736197031918e-42,chr17,19737984.0,2510518546.0,17p11.2
MIF,216.27936331455953,6.42068987257018e-42,chr22,23894382.0,2848077436.0,22q11.23
GTF2IRD1,215.79517233192018,7.670499133624193e-42,chr7,74453905.0,1306458208.0,7q11.23
MMP28,215.55181816595785,8.38809328060975e-42,chr17,35756248.0,2526536810.0,17q12
RPS25,215.3715875312874,8.962640855358113e-42,chr11,119015717.0,1927696768.0,11q23.3
PPP2R1B,214.8802843075499,1.0737494682134776e-41,chr11,111726912.0,1920407963.0,11q23.1
PIK3R2,214.7344439994848,1.1329344740314889e-41,chr19,18153162.0,2672564450.0,19p13.11
CCDC69,214.7341923242636,1.1330393880924039e-41,chr5,151181051.0,1030841116.0,5q33.1
PDE3B,214.642422486629,1.1719521170089814e-41,chr11,14643722.0,1823324773.0,11p15.2
