gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,gene_type,mean_normal,mean_tumor,delta,locus
ENSG00000183434.9,0.0,0.0,0,150,TFDP3,chrX,133216669,133218348,-,protein_coding,-1.7842827,-1.5451435,0.2391392,"chrX:133,216,669-133,218,348 (-)"
ENSG00000171004.18,0.0,0.0,0,150,HS6ST2,chrX,132626016,132961395,-,protein_coding,-1.3332337,-1.1392831,0.19395065,"chrX:132,626,016-132,961,395 (-)"
ENSG00000076770.14,0.0,0.0,0,150,MBNL3,chrX,132369317,132489968,-,protein_coding,-0.7855667,-0.8689709,-0.08340418,"chrX:132,369,317-132,489,968 (-)"
ENSG00000123728.9,0.0,0.0,0,150,RAP2C,chrX,132203024,132219480,-,protein_coding,0.3774822,0.6805238,0.3030416,"chrX:132,203,024-132,219,480 (-)"
ENSG00000134602.15,0.0,0.0,0,150,STK26,chrX,132023265,132075943,+,protein_coding,-0.30098438,0.18261993,0.4836043,"chrX:132,023,265-132,075,943 (+)"
ENSG00000147255.18,0.0,0.0,0,150,IGSF1,chrX,131273506,131578899,-,protein_coding,-1.2014407,-1.3587599,-0.15731919,"chrX:131,273,506-131,578,899 (-)"
ENSG00000147256.11,0.0,0.0,0,150,ARHGAP36,chrX,131058242,131089883,+,protein_coding,-1.3394259,-1.6231622,-0.28373623,"chrX:131,058,242-131,089,883 (+)"
ENSG00000165675.16,0.0,0.0,0,150,ENOX2,chrX,130623369,130903317,-,protein_coding,-0.24376678,-0.14259623,0.101170555,"chrX:130,623,369-130,903,317 (-)"
ENSG00000134597.15,0.0,0.0,0,150,RBMX2,chrX,130401969,130413343,+,protein_coding,0.19989172,0.34789675,0.14800504,"chrX:130,401,969-130,413,343 (+)"
ENSG00000102078.15,0.0,0.0,0,150,SLC25A14,chrX,130339888,130373361,+,protein_coding,-0.44048774,-0.30970472,0.13078302,"chrX:130,339,888-130,373,361 (+)"
ENSG00000056277.15,0.0,0.0,0,150,ZNF280C,chrX,130202711,130268899,-,protein_coding,-0.89667314,-0.8394409,0.05723226,"chrX:130,202,711-130,268,899 (-)"
ENSG00000134594.4,0.0,0.0,0,150,RAB33A,chrX,130171649,130184870,+,protein_coding,-1.2954236,-1.1633104,0.13211322,"chrX:130,171,649-130,184,870 (+)"
ENSG00000156709.13,0.0,0.0,0,150,AIFM1,chrX,130129362,130165887,-,protein_coding,0.4243491,0.84832895,0.42397985,"chrX:130,129,362-130,165,887 (-)"
ENSG00000102034.16,0.0,0.0,0,150,ELF4,chrX,130064874,130110716,-,protein_coding,0.14859468,0.26808318,0.11948851,"chrX:130,064,874-130,110,716 (-)"
ENSG00000085185.15,0.0,0.0,0,150,BCORL1,chrX,129981107,130058083,+,protein_coding,-0.36511523,-0.3083436,0.056771636,"chrX:129,981,107-130,058,083 (+)"
ENSG00000156697.12,0.0,0.0,0,150,UTP14A,chrX,129906121,129929761,+,protein_coding,0.03200129,0.24748221,0.21548092,"chrX:129,906,121-129,929,761 (+)"
ENSG00000188706.12,0.0,0.0,0,150,ZDHHC9,chrX,129803288,129843909,-,protein_coding,0.56068695,0.7770971,0.21641016,"chrX:129,803,288-129,843,909 (-)"
ENSG00000122122.9,0.0,0.0,0,150,SASH3,chrX,129779979,129795201,+,protein_coding,-0.20635256,0.07989608,0.28624862,"chrX:129,779,979-129,795,201 (+)"
ENSG00000122121.10,0.0,0.0,0,150,XPNPEP2,chrX,129738974,129769538,+,protein_coding,-0.74255925,-1.5444721,-0.80191284,"chrX:129,738,974-129,769,538 (+)"
ENSG00000171388.11,0.0,0.0,0,150,APLN,chrX,129645259,129654937,-,protein_coding,-0.47707617,-0.5037671,-0.0266909,"chrX:129,645,259-129,654,937 (-)"
ENSG00000122126.15,0.0,0.0,0,150,OCRL,chrX,129539849,129592561,+,protein_coding,0.43814513,0.5521602,0.11401507,"chrX:129,539,849-129,592,561 (+)"
ENSG00000102038.15,0.0,0.0,0,150,SMARCA1,chrX,129446501,129523500,-,protein_coding,0.6903181,0.5542448,-0.13607329,"chrX:129,446,501-129,523,500 (-)"
ENSG00000198354.6,0.0,0.0,0,150,DCAF12L2,chrX,126163499,126166097,-,protein_coding,-1.5551863,-1.5734316,-0.01824534,"chrX:126,163,499-126,166,097 (-)"
ENSG00000101972.18,0.0,0.0,0,150,STAG2,chrX,123960212,124422664,+,protein_coding,0.70978904,0.778631,0.068841934,"chrX:123,960,212-124,422,664 (+)"
ENSG00000183918.15,0.0,0.0,0,150,SH2D1A,chrX,124227868,124373197,+,protein_coding,-1.4442893,-1.0921737,0.35211563,"chrX:124,227,868-124,373,197 (+)"
ENSG00000101966.12,0.0,0.0,0,150,XIAP,chrX,123859724,123913979,+,protein_coding,0.119496256,0.38358232,0.26408607,"chrX:123,859,724-123,913,979 (+)"
ENSG00000125676.19,0.0,0.0,0,150,THOC2,chrX,123600561,123733056,-,protein_coding,0.3126766,0.35011023,0.037433624,"chrX:123,600,561-123,733,056 (-)"
ENSG00000125675.17,0.0,0.0,0,150,GRIA3,chrX,123184153,123490915,+,protein_coding,-1.3525808,-1.6020987,-0.24951792,"chrX:123,184,153-123,490,915 (+)"
ENSG00000182890.4,0.0,0.0,0,150,GLUD2,chrX,121047588,121050080,+,protein_coding,0.6276536,0.61866677,-0.008986831,"chrX:121,047,588-121,050,080 (+)"
ENSG00000171155.7,0.0,0.0,0,150,C1GALT1C1,chrX,120625793,120630150,-,protein_coding,0.5655956,0.85051554,0.28491992,"chrX:120,625,793-120,630,150 (-)"
ENSG00000232119.7,0.0,0.0,0,150,MCTS1,chrX,120594010,120621074,+,protein_coding,0.30768,0.6105521,0.30287206,"chrX:120,594,010-120,621,074 (+)"
ENSG00000158290.16,0.0,0.0,0,150,CUL4B,chrX,120524609,120575794,-,protein_coding,0.6334354,0.71171737,0.07828194,"chrX:120,524,609-120,575,794 (-)"
ENSG00000005893.15,0.0,0.0,0,150,LAMP2,chrX,120427827,120469365,-,protein_coding,1.2667074,1.5128309,0.24612343,"chrX:120,427,827-120,469,365 (-)"
ENSG00000125355.15,0.0,0.0,0,150,TMEM255A,chrX,120258650,120311556,-,protein_coding,-0.5654386,-1.1845777,-0.6191391,"chrX:120,258,650-120,311,556 (-)"
ENSG00000177485.6,0.0,0.0,0,150,ZBTB33,chrX,120250752,120258398,+,protein_coding,0.18560877,0.4409105,0.2553017,"chrX:120,250,752-120,258,398 (+)"
ENSG00000101883.4,0.0,0.0,0,150,RHOXF1,chrX,120109053,120115937,-,protein_coding,-1.139841,-1.6876192,-0.54777825,"chrX:120,109,053-120,115,937 (-)"
ENSG00000101882.9,0.0,0.0,0,150,NKAP,chrX,119920672,119943772,-,protein_coding,-0.39242926,-0.2675463,0.12488297,"chrX:119,920,672-119,943,772 (-)"
ENSG00000125356.6,0.0,0.0,0,150,NDUFA1,chrX,119871487,119876662,+,protein_coding,1.8192631,2.0306628,0.21139967,"chrX:119,871,487-119,876,662 (+)"
ENSG00000125352.5,0.0,0.0,0,150,RNF113A,chrX,119870475,119871827,-,protein_coding,0.33940697,0.5099657,0.17055875,"chrX:119,870,475-119,871,827 (-)"
ENSG00000125351.11,0.0,0.0,0,150,UPF3B,chrX,119805311,119852998,-,protein_coding,0.040371925,0.0069186427,-0.033453282,"chrX:119,805,311-119,852,998 (-)"
ENSG00000198918.7,0.0,0.0,0,150,RPL39,chrX,119786504,119791643,-,protein_coding,1.5820923,1.5002629,-0.08182943,"chrX:119,786,504-119,791,643 (-)"
ENSG00000187808.4,0.0,0.0,0,150,SOWAHD,chrX,119758613,119760164,+,protein_coding,-1.7014474,-1.2412808,0.46016657,"chrX:119,758,613-119,760,164 (+)"
ENSG00000125354.22,0.0,0.0,0,150,SEPT6,chrX,119615724,119693370,-,protein_coding,0.053534396,0.29639465,0.24286026,"chrX:119,615,724-119,693,370 (-)"
ENSG00000186416.13,0.0,0.0,0,150,NKRF,chrX,119588337,119605895,-,protein_coding,-0.29595366,-0.06325785,0.23269582,"chrX:119,588,337-119,605,895 (-)"
ENSG00000077721.15,0.0,0.0,0,150,UBE2A,chrX,119574467,119591083,+,protein_coding,0.5506016,0.76851976,0.21791816,"chrX:119,574,467-119,591,083 (+)"
ENSG00000018610.13,0.0,0.0,0,150,CXorf56,chrX,119538149,119565408,-,protein_coding,0.34055126,0.38889098,0.048339725,"chrX:119,538,149-119,565,408 (-)"
ENSG00000005022.5,0.0,0.0,0,150,SLC25A5,chrX,119468400,119471319,+,protein_coding,2.1727397,2.3785777,0.20583797,"chrX:119,468,400-119,471,319 (+)"
ENSG00000077713.18,0.0,0.0,0,150,SLC25A43,chrX,119399060,119454478,+,protein_coding,0.27811092,0.32423568,0.046124756,"chrX:119,399,060-119,454,478 (+)"
ENSG00000101856.9,0.0,0.0,0,150,PGRMC1,chrX,119236245,119244466,+,protein_coding,1.9713366,1.9131668,-0.05816984,"chrX:119,236,245-119,244,466 (+)"
ENSG00000175556.16,0.0,0.0,0,150,LONRF3,chrX,118974614,119018355,+,protein_coding,-1.0315608,-1.4664505,-0.43488967,"chrX:118,974,614-119,018,355 (+)"
ENSG00000131724.10,0.0,0.0,0,150,IL13RA1,chrX,118727572,118794539,+,protein_coding,1.2849962,1.48576,0.20076382,"chrX:118,727,572-118,794,539 (+)"
ENSG00000147251.15,0.0,0.0,0,150,DOCK11,chrX,118495898,118686163,+,protein_coding,0.31550762,-0.4291882,-0.7446958,"chrX:118,495,898-118,686,163 (+)"
ENSG00000131725.13,0.0,0.0,0,150,WDR44,chrX,118346073,118449961,+,protein_coding,0.024840051,0.025981784,0.0011417326,"chrX:118,346,073-118,449,961 (+)"
ENSG00000003096.14,0.0,0.0,0,150,KLHL13,chrX,117897813,118117340,-,protein_coding,-0.27603298,-1.049321,-0.7732881,"chrX:117,897,813-118,117,340 (-)"
ENSG00000268104.2,0.0,0.0,0,150,SLC6A14,chrX,116436622,116461458,+,protein_coding,-0.50547177,-1.195839,-0.6903673,"chrX:116,436,622-116,461,458 (+)"
ENSG00000102024.17,0.0,0.0,0,150,PLS3,chrX,115561174,115650861,+,protein_coding,1.5575715,1.1224144,-0.43515718,"chrX:115,561,174-115,650,861 (+)"
ENSG00000130224.14,0.0,0.0,0,150,LRCH2,chrX,115110616,115234072,-,protein_coding,-0.87707293,-1.3484617,-0.47138882,"chrX:115,110,616-115,234,072 (-)"
ENSG00000123496.7,0.0,0.0,0,150,IL13RA2,chrX,115003975,115019977,-,protein_coding,-1.6194576,-1.575815,0.04364264,"chrX:115,003,975-115,019,977 (-)"
ENSG00000126016.15,0.0,0.0,0,150,AMOT,chrX,112774503,112840815,-,protein_coding,-0.15544856,-0.12636639,0.029082164,"chrX:112,774,503-112,840,815 (-)"
ENSG00000182508.13,0.0,0.0,0,150,LHFPL1,chrX,112630648,112680054,-,protein_coding,-1.702647,-1.6158158,0.08683121,"chrX:112,630,648-112,680,054 (-)"
ENSG00000101901.11,0.0,0.0,0,150,ALG13,chrX,111665811,111760649,+,protein_coding,0.00030575355,-0.2207825,-0.22108826,"chrX:111,665,811-111,760,649 (+)"
ENSG00000077274.8,0.0,0.0,0,150,CAPN6,chrX,111245103,111270523,-,protein_coding,-0.1339355,-1.0347444,-0.9008089,"chrX:111,245,103-111,270,523 (-)"
ENSG00000077264.14,0.0,0.0,0,150,PAK3,chrX,110944285,111227361,+,protein_coding,-0.7480103,-1.5633092,-0.8152989,"chrX:110,944,285-111,227,361 (+)"
ENSG00000101938.14,0.0,0.0,0,150,CHRDL1,chrX,110673856,110795819,-,protein_coding,1.5867232,-0.5284048,-2.115128,"chrX:110,673,856-110,795,819 (-)"
ENSG00000101935.9,0.0,0.0,0,150,AMMECR1,chrX,110194186,110440233,-,protein_coding,-0.7549798,-0.24864456,0.50633526,"chrX:110,194,186-110,440,233 (-)"
ENSG00000157600.11,0.0,0.0,0,150,TMEM164,chrX,110002631,110182734,+,protein_coding,0.2868392,0.48985633,0.20301715,"chrX:110,002,631-110,182,734 (+)"
ENSG00000068366.19,0.0,0.0,0,150,ACSL4,chrX,109624244,109733403,-,protein_coding,0.5597397,0.0468681,-0.5128716,"chrX:109,624,244-109,733,403 (-)"
ENSG00000101888.11,0.0,0.0,0,150,NXT2,chrX,109535781,109544690,+,protein_coding,-0.19795392,0.17138468,0.3693386,"chrX:109,535,781-109,544,690 (+)"
ENSG00000188153.12,0.0,0.0,0,150,COL4A5,chrX,108439844,108697545,+,protein_coding,-0.10162453,-0.08621947,0.015405066,"chrX:108,439,844-108,697,545 (+)"
ENSG00000197565.15,0.0,0.0,0,150,COL4A6,chrX,108155607,108439497,-,protein_coding,-0.74995756,-1.3482531,-0.59829557,"chrX:108,155,607-108,439,497 (-)"
ENSG00000101844.17,0.0,0.0,0,150,ATG4A,chrX,108091668,108154671,+,protein_coding,-0.10100183,0.11422953,0.21523136,"chrX:108,091,668-108,154,671 (+)"
ENSG00000101843.18,0.0,0.0,0,150,PSMD10,chrX,108084207,108091618,-,protein_coding,0.62848544,0.9722757,0.34379023,"chrX:108,084,207-108,091,618 (-)"
ENSG00000080561.13,0.0,0.0,0,150,MID2,chrX,107825755,107927193,+,protein_coding,-0.17692474,-0.1362618,0.04066293,"chrX:107,825,755-107,927,193 (+)"
ENSG00000170935.7,0.0,0.0,0,150,NCBP2L,chrX,107774899,107795829,+,protein_coding,-1.2150798,-1.083643,0.13143682,"chrX:107,774,899-107,795,829 (+)"
ENSG00000157514.16,0.0,0.0,0,150,TSC22D3,chrX,107713221,107777342,-,protein_coding,1.9762168,1.2559367,-0.72028005,"chrX:107,713,221-107,777,342 (-)"
ENSG00000147224.10,0.0,0.0,0,150,PRPS1,chrX,107628424,107651026,+,protein_coding,0.63883024,0.8111526,0.17232233,"chrX:107,628,424-107,651,026 (+)"
ENSG00000147234.10,0.0,0.0,0,150,FRMPD3,chrX,107522450,107605251,+,protein_coding,-1.843771,-1.3795948,0.46417618,"chrX:107,522,450-107,605,251 (+)"
ENSG00000198088.10,0.0,0.0,0,150,NUP62CL,chrX,107123427,107206433,-,protein_coding,-1.2579021,-0.9612086,0.29669356,"chrX:107,123,427-107,206,433 (-)"
ENSG00000089682.16,0.0,0.0,0,150,RBM41,chrX,107064420,107118823,-,protein_coding,-0.67978245,-0.6093228,0.070459664,"chrX:107,064,420-107,118,823 (-)"
ENSG00000133131.14,0.0,0.0,0,150,MORC4,chrX,106813871,107000244,-,protein_coding,-0.023789952,0.10526654,0.1290565,"chrX:106,813,871-107,000,244 (-)"
ENSG00000133138.19,0.0,0.0,0,150,TBC1D8B,chrX,106802680,106876145,+,protein_coding,-0.95588523,-0.7549027,0.20098251,"chrX:106,802,680-106,876,145 (+)"
ENSG00000133135.13,0.0,0.0,0,150,RNF128,chrX,106693794,106796993,+,protein_coding,-0.76024455,-0.8665999,-0.10635537,"chrX:106,693,794-106,796,993 (+)"
ENSG00000147231.13,0.0,0.0,0,150,CXorf57,chrX,106611930,106679442,+,protein_coding,-1.2124534,-1.4580559,-0.24560249,"chrX:106,611,930-106,679,442 (+)"
ENSG00000157502.13,0.0,0.0,0,150,MUM1L1,chrX,106168305,106208956,+,protein_coding,-1.2414472,-0.95045763,0.29098958,"chrX:106,168,305-106,208,956 (+)"
ENSG00000123572.16,0.0,0.0,0,150,NRK,chrX,105822543,105958610,+,protein_coding,-1.539853,-1.3082397,0.23161328,"chrX:105,822,543-105,958,610 (+)"
ENSG00000123575.8,0.0,0.0,0,150,FAM199X,chrX,104166620,104195902,+,protein_coding,0.38453636,0.4507473,0.066210955,"chrX:104,166,620-104,195,902 (+)"
ENSG00000269743.2,0.0,0.0,0,150,SLC25A53,chrX,104099214,104157027,-,protein_coding,-1.4663328,-1.3746568,0.091676,"chrX:104,099,214-104,157,027 (-)"
ENSG00000166707.10,0.0,0.0,0,150,ZCCHC18,chrX,104112131,104115846,+,protein_coding,-1.5269059,-1.593281,-0.06637514,"chrX:104,112,131-104,115,846 (+)"
ENSG00000269226.7,0.0,0.0,0,150,RP11-722G7.1,chrX,104063871,104076212,-,protein_coding,-0.7315909,-0.8584832,-0.12689227,"chrX:104,063,871-104,076,212 (-)"
ENSG00000123570.3,0.0,0.0,0,150,RAB9B,chrX,103822322,103832228,-,protein_coding,-1.0759279,-1.2028538,-0.12692595,"chrX:103,822,322-103,832,228 (-)"
ENSG00000123560.13,0.0,0.0,0,150,PLP1,chrX,103773718,103792619,+,protein_coding,-0.94701385,-1.5174482,-0.57043433,"chrX:103,773,718-103,792,619 (+)"
ENSG00000179363.6,0.0,0.0,0,150,TMEM31,chrX,103710909,103714028,+,protein_coding,-1.4519852,-1.5334573,-0.08147204,"chrX:103,710,909-103,714,028 (+)"
ENSG00000123562.16,0.0,0.0,0,150,MORF4L2,chrX,103675496,103688158,-,protein_coding,1.9171352,2.1846085,0.26747322,"chrX:103,675,496-103,688,158 (-)"
ENSG00000172465.13,0.0,0.0,0,150,TCEAL1,chrX,103628704,103630953,+,protein_coding,0.9373045,0.8124441,-0.124860406,"chrX:103,628,704-103,630,953 (+)"
ENSG00000196507.10,0.0,0.0,0,150,TCEAL3,chrX,103607451,103629690,+,protein_coding,0.69346035,0.8671466,0.17368627,"chrX:103,607,451-103,629,690 (+)"
ENSG00000133142.17,0.0,0.0,0,150,TCEAL4,chrX,103576231,103587736,+,protein_coding,1.6056405,1.6336193,0.027978778,"chrX:103,576,231-103,587,736 (+)"
ENSG00000166681.13,0.0,0.0,0,150,BEX3,chrX,103376340,103378077,+,protein_coding,1.8129038,1.6074734,-0.20543039,"chrX:103,376,340-103,378,077 (+)"
ENSG00000185222.8,0.0,0.0,0,150,TCEAL9,chrX,103356452,103358451,+,protein_coding,1.6117021,1.2941842,-0.31751788,"chrX:103,356,452-103,358,451 (+)"
ENSG00000182916.7,0.0,0.0,0,150,TCEAL7,chrX,103330196,103332326,+,protein_coding,0.15144746,-0.82471186,-0.97615933,"chrX:103,330,196-103,332,326 (+)"
ENSG00000133134.11,0.0,0.0,0,150,BEX2,chrX,103309346,103311046,-,protein_coding,0.33301097,0.07913327,-0.2538777,"chrX:103,309,346-103,311,046 (-)"
ENSG00000204065.2,0.0,0.0,0,150,TCEAL5,chrX,103273691,103276872,-,protein_coding,-0.6834978,-1.1540254,-0.47052765,"chrX:103,273,691-103,276,872 (-)"
ENSG00000180964.16,0.0,0.0,0,150,TCEAL8,chrX,103252995,103255203,-,protein_coding,1.2656178,1.398783,0.13316512,"chrX:103,252,995-103,255,203 (-)"
ENSG00000102409.9,0.0,0.0,0,150,BEX4,chrX,103215092,103217246,+,protein_coding,1.3172156,1.1241337,-0.19308186,"chrX:103,215,092-103,217,246 (+)"
ENSG00000133169.5,0.0,0.0,0,150,BEX1,chrX,103062651,103064240,-,protein_coding,-0.941063,-0.79458034,0.14648265,"chrX:103,062,651-103,064,240 (-)"
ENSG00000198908.11,0.0,0.0,0,150,BHLHB9,chrX,102720688,102753540,+,protein_coding,-0.8798956,-0.80205333,0.077842295,"chrX:102,720,688-102,753,540 (+)"
ENSG00000158301.18,0.0,0.0,0,150,GPRASP2,chrX,102712176,102717733,+,protein_coding,0.07076936,-0.37739757,-0.44816694,"chrX:102,712,176-102,717,733 (+)"
ENSG00000125962.14,0.0,0.0,0,150,ARMCX5,chrX,102599168,102604159,+,protein_coding,-0.20495833,-0.19590096,0.009057373,"chrX:102,599,168-102,604,159 (+)"
ENSG00000158164.6,0.0,0.0,0,150,TMSB15A,chrX,102513676,102516784,-,protein_coding,-1.0421458,-0.67550343,0.36664242,"chrX:102,513,676-102,516,784 (-)"
ENSG00000184515.10,0.0,0.0,0,150,BEX5,chrX,102153708,102156057,-,protein_coding,-0.4067088,-0.5702119,-0.16350308,"chrX:102,153,708-102,156,057 (-)"
ENSG00000204071.10,0.0,0.0,0,150,TCEAL6,chrX,102140476,102142970,-,protein_coding,-1.5003633,-1.2012961,0.29906726,"chrX:102,140,476-102,142,970 (-)"
ENSG00000184905.8,0.0,0.0,0,150,TCEAL2,chrX,102125688,102127711,+,protein_coding,-0.635806,-1.4349092,-0.7991032,"chrX:102,125,688-102,127,711 (+)"
ENSG00000166432.14,0.0,0.0,0,150,ZMAT1,chrX,101882288,101932031,-,protein_coding,0.08977457,-0.48305336,-0.57282794,"chrX:101,882,288-101,932,031 (-)"
ENSG00000184867.13,0.0,0.0,0,150,ARMCX2,chrX,101655281,101659891,-,protein_coding,0.51071364,0.5474492,0.036735535,"chrX:101,655,281-101,659,891 (-)"
ENSG00000102401.19,0.0,0.0,0,150,ARMCX3,chrX,101622797,101627843,+,protein_coding,0.98069483,0.9474917,-0.033203125,"chrX:101,622,797-101,627,843 (+)"
ENSG00000198960.10,0.0,0.0,0,150,ARMCX6,chrX,101615118,101618001,-,protein_coding,0.37097046,0.5345446,0.16357413,"chrX:101,615,118-101,618,001 (-)"
ENSG00000126947.12,0.0,0.0,0,150,ARMCX1,chrX,101550531,101554700,+,protein_coding,0.90555817,0.6113647,-0.29419345,"chrX:101,550,531-101,554,700 (+)"
ENSG00000196440.11,0.0,0.0,0,150,ARMCX4,chrX,101418287,101533459,+,protein_coding,-0.51227343,-1.042355,-0.5300815,"chrX:101,418,287-101,533,459 (+)"
ENSG00000126945.8,0.0,0.0,0,150,HNRNPH2,chrX,101408295,101414133,+,protein_coding,1.6735915,1.7284929,0.05490136,"chrX:101,408,295-101,414,133 (+)"
ENSG00000257529.5,0.0,0.0,0,150,RPL36A-HNRNPH2,chrX,101391011,101412297,+,protein_coding,1.2678838,1.3142941,0.046410322,"chrX:101,391,011-101,412,297 (+)"
ENSG00000102393.9,0.0,0.0,0,150,GLA,chrX,101397803,101407925,-,protein_coding,0.4651898,0.8395313,0.3743415,"chrX:101,397,803-101,407,925 (-)"
ENSG00000241343.9,0.0,0.0,0,150,RPL36A,chrX,101390824,101396154,+,protein_coding,-0.31649673,-0.5456562,-0.22915947,"chrX:101,390,824-101,396,154 (+)"
ENSG00000010671.15,0.0,0.0,0,150,BTK,chrX,101349447,101390796,-,protein_coding,-0.8942961,-0.60474414,0.28955197,"chrX:101,349,447-101,390,796 (-)"
ENSG00000126953.5,0.0,0.0,0,150,TIMM8A,chrX,101345661,101349196,-,protein_coding,-0.727221,-0.43608826,0.29113275,"chrX:101,345,661-101,349,196 (-)"
ENSG00000102384.13,0.0,0.0,0,150,CENPI,chrX,101098218,101163681,+,protein_coding,-1.6565112,-0.8277242,0.82878697,"chrX:101,098,218-101,163,681 (+)"
ENSG00000126950.7,0.0,0.0,0,150,TMEM35A,chrX,101078720,101096364,+,protein_coding,-1.2962973,-1.5187107,-0.22241342,"chrX:101,078,720-101,096,364 (+)"
ENSG00000188917.14,0.0,0.0,0,150,TRMT2B,chrX,101009346,101052116,-,protein_coding,-0.09539659,0.06622076,0.16161735,"chrX:101,009,346-101,052,116 (-)"
ENSG00000007952.17,0.0,0.0,0,150,NOX1,chrX,100843324,100874345,-,protein_coding,-1.8302181,-1.5065851,0.32363296,"chrX:100,843,324-100,874,345 (-)"
ENSG00000101811.13,0.0,0.0,0,150,CSTF2,chrX,100820359,100840932,+,protein_coding,-0.08007939,0.42448702,0.50456643,"chrX:100,820,359-100,840,932 (+)"
ENSG00000102362.15,0.0,0.0,0,150,SYTL4,chrX,100674491,100732123,-,protein_coding,0.0477921,-0.16695358,-0.21474567,"chrX:100,674,491-100,732,123 (-)"
ENSG00000102359.6,0.0,0.0,0,150,SRPX2,chrX,100644166,100675788,+,protein_coding,0.39399898,0.06973685,-0.32426214,"chrX:100,644,166-100,675,788 (+)"
ENSG00000000003.14,0.0,0.0,0,150,TSPAN6,chrX,100627109,100639991,-,protein_coding,0.7292481,0.43094584,-0.29830226,"chrX:100,627,109-100,639,991 (-)"
ENSG00000000005.5,0.0,0.0,0,150,TNMD,chrX,100584802,100599885,+,protein_coding,-0.095640644,-1.5265696,-1.430929,"chrX:100,584,802-100,599,885 (+)"
ENSG00000165194.15,0.0,0.0,0,150,PCDH19,chrX,100291644,100410273,-,protein_coding,-1.026368,-1.2808138,-0.2544458,"chrX:100,291,644-100,410,273 (-)"
ENSG00000147202.17,0.0,0.0,0,150,DIAPH2,chrX,96684663,97604997,+,protein_coding,-0.21497196,-0.5485355,-0.33356357,"chrX:96,684,663-97,604,997 (+)"
ENSG00000186310.9,0.0,0.0,0,150,NAP1L3,chrX,93670930,93673568,-,protein_coding,-0.76113087,-0.85956246,-0.09843159,"chrX:93,670,930-93,673,568 (-)"
ENSG00000174740.7,0.0,0.0,0,150,PABPC5,chrX,91434595,91438584,+,protein_coding,-1.2424958,-1.4148508,-0.17235506,"chrX:91,434,595-91,438,584 (+)"
ENSG00000188419.13,0.0,0.0,0,150,CHM,chrX,85861180,86047562,-,protein_coding,-0.34443605,-0.29465312,0.04978293,"chrX:85,861,180-86,047,562 (-)"
ENSG00000124429.17,0.0,0.0,0,150,POF1B,chrX,85277396,85379743,-,protein_coding,-1.0246987,-0.9197319,0.10496682,"chrX:85,277,396-85,379,743 (-)"
ENSG00000147180.16,0.0,0.0,0,150,ZNF711,chrX,85244032,85273362,+,protein_coding,-0.4573275,-0.7899359,-0.33260837,"chrX:85,244,032-85,273,362 (+)"
ENSG00000184788.12,0.0,0.0,0,150,SATL1,chrX,85092287,85109048,-,protein_coding,-0.8239513,-0.62829274,0.19565856,"chrX:85,092,287-85,109,048 (-)"
ENSG00000155008.13,0.0,0.0,0,150,APOOL,chrX,85003826,85093316,+,protein_coding,-0.12768817,0.006525359,0.13421352,"chrX:85,003,826-85,093,316 (+)"
ENSG00000165259.13,0.0,0.0,0,150,HDX,chrX,84317874,84502479,-,protein_coding,-1.1900082,-1.1973518,-0.00734365,"chrX:84,317,874-84,502,479 (-)"
ENSG00000072133.10,0.0,0.0,0,150,RPS6KA6,chrX,84058346,84187907,-,protein_coding,-1.1298958,-0.9903397,0.13955611,"chrX:84,058,346-84,187,907 (-)"
ENSG00000131171.12,0.0,0.0,0,150,SH3BGRL,chrX,81201943,81298547,+,protein_coding,1.831915,2.1066895,0.27477443,"chrX:81,201,943-81,298,547 (+)"
ENSG00000198157.10,0.0,0.0,0,150,HMGN5,chrX,81113701,81201942,-,protein_coding,-0.3206313,-0.23233615,0.08829515,"chrX:81,113,701-81,201,942 (-)"
ENSG00000165288.10,0.0,0.0,0,150,BRWD3,chrX,80670854,80809688,-,protein_coding,-0.55056334,-0.52051634,0.030047,"chrX:80,670,854-80,809,688 (-)"
ENSG00000078596.10,0.0,0.0,0,150,ITM2A,chrX,79360384,79367667,-,protein_coding,1.5279624,0.26410124,-1.2638612,"chrX:79,360,384-79,367,667 (-)"
ENSG00000147138.1,0.0,0.0,0,150,GPR174,chrX,79170972,79172229,+,protein_coding,-1.3827538,-1.2992632,0.08349061,"chrX:79,170,972-79,172,229 (+)"
ENSG00000078589.12,0.0,0.0,0,150,P2RY10,chrX,78945332,78961954,+,protein_coding,-1.4120044,-0.9554591,0.45654523,"chrX:78,945,332-78,961,954 (+)"
ENSG00000147145.12,0.0,0.0,0,150,LPAR4,chrX,78747709,78757094,+,protein_coding,-1.5931014,-1.6180214,-0.024919987,"chrX:78,747,709-78,757,094 (+)"
